timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1524434583.084863,0.008491,0.153950,2.066407,-0.001119,-0.000527,0.000201,0.008391,-0.153342,-0.988137,0.000765,-0.005105,0.014321,20.573669,-20.521252,-51.346985,,,,,,,
,,,,,,,,,,,,,,,,42.293402,-71.264241,59.832619,-1.000000,-1.000000,1524434490.521150,
,,,,,,,,,,,,,,,,42.293402,-71.264241,59.832619,-1.000000,-1.000000,1524434499.521150,
1524434583.104882,0.008463,0.153892,2.066411,-0.003245,-0.001593,-0.000879,0.008363,-0.153285,-0.988146,0.001051,-0.005376,0.014285,19.990448,-21.214199,-51.559998,,,,,,,
1524434583.124902,0.008450,0.153848,2.066426,-0.001117,0.000532,0.000201,0.008350,-0.153242,-0.988153,0.000347,-0.001909,0.019678,19.056229,-21.981075,-51.764893,,,,,,,
,,,,,,,,,,,,,,,,42.293388,-71.264268,59.832619,-1.000000,-1.000000,1524434583.114455,
,,,,,,,,,,,,,,,,42.293388,-71.264268,59.832619,-1.000000,-1.000000,1524434583.117720,
1524434583.144921,0.008421,0.153872,2.066446,0.004208,-0.003718,0.001302,0.008321,-0.153266,-0.988150,0.001460,-0.000116,0.020025,17.835556,-20.775448,-50.510315,,,,,,,
1524434583.164941,0.008443,0.153929,2.066440,0.001030,0.002656,-0.000852,0.008343,-0.153322,-0.988141,0.000401,-0.004362,0.015088,18.205093,-19.922787,-49.758118,,,,,,,
1524434583.184960,0.008449,0.153907,2.066433,-0.005388,-0.000531,0.000171,0.008349,-0.153300,-0.988144,0.001920,-0.004704,0.015717,18.682175,-19.627384,-49.148376,,,,,,,
1524434583.204980,0.008432,0.153840,2.066443,-0.002197,-0.002654,0.001258,0.008332,-0.153234,-0.988155,0.000350,-0.004755,0.014964,19.219711,-19.415836,-48.811584,,,,,,,
1524434583.224999,0.008437,0.153837,2.066447,0.001028,0.000532,-0.000853,0.008337,-0.153231,-0.988155,0.001322,-0.002760,0.019329,19.584320,-19.710926,-49.040833,,,,,,,
1524434583.245019,0.008452,0.153846,2.066451,-0.000058,0.001597,0.001271,0.008352,-0.153239,-0.988154,0.000803,-0.003560,0.016611,20.166855,-19.204548,-49.697449,,,,,,,
1524434583.265069,0.008443,0.153866,2.066439,-0.001116,0.001595,0.000198,0.008344,-0.153259,-0.988151,0.002917,-0.004791,0.016013,20.705597,-19.607895,-50.974548,,,,,,,
1524434583.285089,0.008419,0.153843,2.066427,-0.000052,-0.002656,0.000206,0.008319,-0.153237,-0.988154,-0.000156,-0.003791,0.016337,20.648529,-20.446766,-51.700684,,,,,,,
